machine_id,priority,alert_level,action_type,cost_at_risk,urgency_score,window_days,expected_savings,suggestion
CNC_065,1,ALARM,schedule_inspection,5760.0,100.0,1,4032.0,"[中风险等级 | 夜间窗口] 安排检查：预计2.8h，备件=[o-ring_set]，估算成本=$1,834，日产值风险=$6,000。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_033,1,ALARM,schedule_inspection,6673.92,100.0,1,4671.74,"[高风险等级 | 夜间窗口] 安排检查：预计2.8h，备件=[o-ring_set]，估算成本=$2,192，日产值风险=$6,952。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_072,1,ALARM,schedule_inspection,5812.56,100.0,1,4068.79,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$1,843，日产值风险=$6,318。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_034,1,ALARM,schedule_inspection,7512.72,100.0,1,5258.9,"[高风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$2,431，日产值风险=$8,166。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_013,1,ALARM,schedule_inspection,6491.52,100.0,1,4544.06,"[高风险等级 | 夜间窗口] 安排检查：预计2.7h，备件=[o-ring_set]，估算成本=$2,131，日产值风险=$7,056。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_054,1,ALARM,schedule_inspection,6371.000000000001,100.0,1,4459.7,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$2,010，日产值风险=$6,925。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_036,1,ALARM,schedule_inspection,7232.000000000001,100.0,1,5062.4,"[高风险等级 | 夜间窗口] 安排检查：预计2.8h，备件=[o-ring_set]，估算成本=$2,360，日产值风险=$7,232。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_064,1,ALARM,schedule_inspection,7323.200000000002,100.0,1,5126.24,"[高风险等级 | 夜间窗口] 安排检查：预计2.7h，备件=[o-ring_set]，估算成本=$2,380，日产值风险=$7,960。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_017,1,ALARM,schedule_inspection,5665.92,100.0,1,3966.14,"[中风险等级 | 夜间窗口] 安排检查：预计2.2h，备件=[power_supply_module, voltage_regulator_ic, capacitor_bank]，估算成本=$2,434，日产值风险=$5,448。故障模式：电压漂移。验收标准：参照电压漂移类验收规则执行。"
CNC_097,1,ALARM,schedule_inspection,6281.76,100.0,1,4397.23,"[中风险等级 | 夜间窗口] 安排检查：预计2.4h，备件=[o-ring_set]，估算成本=$1,977，日产值风险=$6,828。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_073,1,ALARM,schedule_inspection,5611.2,100.0,1,3927.84,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$1,782，日产值风险=$6,680。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_042,1,ALARM,schedule_inspection,6159.400000000001,100.0,1,4311.58,"[中风险等级 | 夜间窗口] 安排检查：预计2.7h，备件=[o-ring_set]，估算成本=$1,950，日产值风险=$6,695。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_058,1,ALARM,schedule_inspection,5942.399999999999,100.0,1,4159.68,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$1,882，日产值风险=$7,428。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_048,1,ALARM,schedule_inspection,5794.8,100.0,1,4056.36,"[中风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$1,834，日产值风险=$6,585。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_085,1,ALARM,schedule_inspection,7729.280000000002,100.0,1,5410.5,"[高风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[o-ring_set]，估算成本=$2,489，日产值风险=$7,432。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_091,2,WARNING,increase_monitoring,6258.000000000001,66.0,1,4380.6,"[中风险等级 | 夜间窗口] 加密监控：预计1.1h，备件=[o-ring_set]，估算成本=$1,924，日产值风险=$6,258。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_083,2,WARNING,increase_monitoring,5955.839999999999,66.0,1,4169.09,"[中风险等级 | 夜间窗口] 加密监控：预计1.2h，备件=[o-ring_set]，估算成本=$1,837，日产值风险=$6,768。故障模式：正常。验收标准：参照正常类验收规则执行。"
